lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.48869,37.32014,3.958692E+01,2.248242E+01,2.241492E+02,1.203079E+02
-122.48869,37.32913,3.981728E+01,2.229490E+01,2.361013E+02,1.191608E+02
-122.48869,37.33812,4.157720E+01,2.239742E+01,2.220332E+02,1.245474E+02
-122.48869,37.34712,3.900929E+01,2.255054E+01,2.419691E+02,1.302028E+02
-122.48869,37.35611,4.108060E+01,2.219977E+01,2.419609E+02,1.229885E+02
-122.48868,37.36510,4.375818E+01,2.390524E+01,2.405985E+02,1.248129E+02
-122.48868,37.37409,4.343037E+01,2.408832E+01,2.596758E+02,1.338196E+02
-122.48868,37.38309,4.534724E+01,2.387460E+01,2.710568E+02,1.281843E+02
-122.48868,37.39208,4.679297E+01,2.485842E+01,2.530222E+02,1.348321E+02
-122.48868,37.40107,4.902790E+01,2.512547E+01,2.743763E+02,1.403461E+02
-122.48868,37.41007,4.882210E+01,2.533252E+01,2.637660E+02,1.326895E+02
-122.48868,37.41906,5.222703E+01,2.643794E+01,3.125002E+02,1.420529E+02
-122.48868,37.42805,5.341981E+01,2.654725E+01,3.043513E+02,1.549263E+02
-122.48867,37.43705,4.859753E+01,2.772167E+01,3.170070E+02,1.506152E+02
-122.48867,37.44604,5.207845E+01,2.735877E+01,3.133110E+02,1.536455E+02
-122.48867,37.45503,5.953136E+01,2.850659E+01,3.500436E+02,1.480285E+02
-122.48867,37.46403,5.677142E+01,2.999824E+01,3.453563E+02,1.522399E+02
-122.48867,37.47302,5.951872E+01,2.873839E+01,3.674459E+02,1.628785E+02
-122.48867,37.48201,5.944405E+01,3.059989E+01,3.506266E+02,1.671880E+02
-122.48867,37.49101,5.902514E+01,2.978598E+01,3.712832E+02,1.637722E+02
-122.48866,37.50000,5.927472E+01,3.151032E+01,4.000000E+02,1.726813E+02
-122.47748,37.00537,2.778152E+01,1.590423E+01,1.699818E+02,8.952515E+01
-122.47747,37.01437,2.976949E+01,1.679148E+01,1.576548E+02,8.759448E+01
-122.47747,37.02336,2.905213E+01,1.694713E+01,1.577088E+02,8.820081E+01
-122.47747,37.03235,2.766886E+01,1.647785E+01,1.609255E+02,9.211696E+01
-122.47747,37.04135,3.089456E+01,1.709758E+01,1.584101E+02,9.250153E+01
-122.47746,37.05034,2.722821E+01,1.640928E+01,1.592950E+02,8.942889E+01
-122.47746,37.05933,2.988676E+01,1.742678E+01,1.533711E+02,9.187015E+01
-122.47746,37.06833,2.973774E+01,1.781915E+01,1.665208E+02,9.503882E+01
-122.47746,37.07732,3.217485E+01,1.834512E+01,1.521347E+02,9.165111E+01
-122.47745,37.08631,3.047698E+01,1.785454E+01,1.638367E+02,9.457211E+01
-122.47745,37.09531,3.029915E+01,1.806588E+01,1.701948E+02,9.458155E+01
-122.47745,37.10430,3.090120E+01,1.839901E+01,1.664899E+02,9.270027E+01
-122.47744,37.11329,3.154656E+01,1.825938E+01,1.742248E+02,9.630836E+01
-122.47744,37.12228,3.228544E+01,1.788722E+01,1.733512E+02,1.018369E+02
-122.47744,37.13128,3.311266E+01,1.916295E+01,1.583689E+02,9.241649E+01
-122.47744,37.14027,3.334265E+01,1.942735E+01,1.824368E+02,1.007996E+02
-122.47743,37.14926,3.286937E+01,1.907496E+01,1.800365E+02,9.742099E+01
-122.47743,37.15826,3.371867E+01,1.940204E+01,1.808684E+02,1.025383E+02
-122.47743,37.16725,3.417315E+01,1.945756E+01,1.834347E+02,1.011916E+02
